Date,Month,SKU,Product,Category,Region,Customer,Supplier ID,Supplier,Demand,Forecast,Opening Inventory,Closing Inventory,Safety Stock,Lead Time (Days),Order Qty,Delivered Qty,Requested Date,Delivery Date,OTIF,Stockout,Unit Cost (INR),Selling Price (INR),Inventory Value (INR)
2026-06-17,Jun-2026,SKU-108,Power Module 2,Critical Components,North,Horizon Machines,SUP-C,Crest Global,120,107,89,67,34,30,112,112,2026-06-25,2026-06-25,Yes,Yes,46294.88,62888.89,3101756.98
2026-04-29,Apr-2026,SKU-118,CNC Control Unit 2,Premium Equipment,West,Western Manufacturing,SUP-C,Crest Global,57,51,119,106,19,31,68,68,2026-05-10,2026-05-10,Yes,No,155891.03,217772.8,16524449.62
2026-08-29,Aug-2026,SKU-125,Filter Cartridge 1,Consumables,North,Horizon Machines,SUP-F,Fusion Tech,130,129,274,250,64,26,125,122,2026-09-09,2026-09-09,No,No,1784.68,2334.55,446170.76
2026-06-28,Jun-2026,SKU-105,Industrial Sensor 1,Critical Components,East,Bengal Engineering,SUP-C,Crest Global,111,109,160,133,34,26,136,136,2026-07-08,2026-07-09,No,No,28765.26,37096.38,3825779.5
2026-05-30,May-2026,SKU-121,Vision Inspection Unit 1,Premium Equipment,North,NorthStar Automation,SUP-G,Global Motion,71,62,102,86,23,23,88,81,2026-06-07,2026-06-10,No,No,60889.55,86892.87,5236501.04
2026-07-26,Jul-2026,SKU-128,Lubrication Kit 2,Consumables,East,Prime Industrial,SUP-G,Global Motion,164,164,368,338,82,18,154,154,2026-08-01,2026-08-01,Yes,No,1324.3,1805.64,447611.78
2026-05-01,May-2026,SKU-101,Servo Controller 1,Critical Components,Central,CoreTech Manufacturing,SUP-H,Horizon Parts,123,89,112,83,28,21,145,145,2026-05-08,2026-05-08,Yes,Yes,25592.8,36281.68,2124202.79
2026-05-10,May-2026,SKU-102,Servo Controller 2,Critical Components,North,Horizon Machines,SUP-G,Global Motion,130,101,122,98,32,25,125,122,2026-05-17,2026-05-17,No,Yes,40338.27,54845.35,3953150.63
2026-02-28,Feb-2026,SKU-113,Valve Kit 1,Standard Components,West,Metro Automation,SUP-F,Fusion Tech,136,143,214,187,40,22,147,147,2026-03-08,2026-03-08,Yes,No,10640.17,13091.31,1989711.96
2026-03-30,Mar-2026,SKU-105,Industrial Sensor 1,Critical Components,East,Orion Industries,SUP-E,Everest Components,126,115,111,82,36,20,146,146,2026-04-11,2026-04-15,No,Yes,22433.31,33763.62,1839531.62
2026-01-18,Jan-2026,SKU-107,Power Module 1,Critical Components,North,Horizon Machines,SUP-F,Fusion Tech,126,114,119,93,36,21,133,133,2026-01-24,2026-01-24,Yes,Yes,58483.41,87484.69,5438956.94
2026-01-28,Jan-2026,SKU-116,Connector Set 2,Standard Components,North,NorthStar Automation,SUP-H,Horizon Parts,176,196,286,257,54,24,182,177,2026-02-06,2026-02-06,No,No,13947.36,17728.25,3584471.76
2026-03-21,Mar-2026,SKU-114,Valve Kit 2,Standard Components,Central,Central Industrial Works,SUP-F,Fusion Tech,222,234,333,293,65,15,222,222,2026-03-27,2026-03-27,Yes,No,3281.55,5023.16,961494.13
2026-05-30,May-2026,SKU-116,Connector Set 2,Standard Components,East,Eastern Process Tech,SUP-B,Bharat Industrial,129,138,190,167,38,11,132,132,2026-06-09,2026-06-09,Yes,No,10224.44,15010.65,1707481.07
2026-01-23,Jan-2026,SKU-101,Servo Controller 1,Critical Components,South,Deccan Industries,SUP-A,Alpha Components,119,112,102,78,35,21,124,124,2026-01-30,2026-01-30,Yes,Yes,43531.24,60706.52,3395437.05
2026-06-24,Jun-2026,SKU-120,Robotic Arm Module 2,Premium Equipment,Central,Central Industrial Works,SUP-C,Crest Global,53,66,89,81,25,26,61,61,2026-07-04,2026-07-04,Yes,No,116066.48,174008.52,9401385.0
2026-01-28,Jan-2026,SKU-128,Lubrication Kit 2,Consumables,West,Western Manufacturing,SUP-A,Alpha Components,219,248,518,480,124,17,237,237,2026-02-08,2026-02-08,Yes,No,1500.56,1848.52,720266.47
2026-04-09,Apr-2026,SKU-110,Bearing Assembly 2,Standard Components,South,Deccan Industries,SUP-E,Everest Components,125,151,214,195,42,17,137,137,2026-04-17,2026-04-17,Yes,No,8938.66,13115.94,1743038.79
2026-08-29,Aug-2026,SKU-116,Connector Set 2,Standard Components,Central,Vindhya Engineering,SUP-G,Global Motion,200,206,334,295,57,15,205,205,2026-09-04,2026-09-04,Yes,No,7912.94,10566.83,2334315.9
2026-08-03,Aug-2026,SKU-115,Connector Set 1,Standard Components,North,Delhi Industrial Systems,SUP-G,Global Motion,116,140,196,176,39,25,140,140,2026-08-08,2026-08-08,Yes,No,4553.53,5718.2,801421.26
2026-04-26,Apr-2026,SKU-123,Smart Drive 1,Premium Equipment,West,Vertex Engineering,SUP-G,Global Motion,49,44,83,72,16,16,55,55,2026-05-07,2026-05-07,Yes,No,144928.75,208886.88,10434869.99
2026-04-08,Apr-2026,SKU-128,Lubrication Kit 2,Consumables,North,Horizon Machines,SUP-F,Fusion Tech,233,239,486,440,119,27,243,243,2026-04-17,2026-04-17,Yes,No,4316.23,5513.68,1899142.27
2026-05-30,May-2026,SKU-120,Robotic Arm Module 2,Premium Equipment,South,Deccan Industries,SUP-E,Everest Components,55,61,79,67,23,13,74,74,2026-06-07,2026-06-07,Yes,No,146995.18,193100.15,9848677.11
2026-06-23,Jun-2026,SKU-122,Vision Inspection Unit 2,Premium Equipment,North,Delhi Industrial Systems,SUP-E,Everest Components,57,61,95,86,23,23,51,51,2026-07-01,2026-07-01,Yes,No,73446.42,111240.31,6316391.96
2026-08-13,Aug-2026,SKU-107,Power Module 1,Critical Components,West,Gujarat Process Systems,SUP-B,Bharat Industrial,129,106,117,92,33,20,126,126,2026-08-25,2026-08-25,Yes,Yes,64430.95,91632.1,5927646.97
2026-07-08,Jul-2026,SKU-128,Lubrication Kit 2,Consumables,West,Metro Automation,SUP-C,Crest Global,214,202,438,397,101,26,221,208,2026-07-16,2026-07-16,No,No,2302.63,3219.66,914146.08
2026-02-09,Feb-2026,SKU-110,Bearing Assembly 2,Standard Components,North,Delhi Industrial Systems,SUP-D,Delta Engineering,205,214,299,258,59,19,221,221,2026-02-14,2026-02-24,No,No,2567.8,3855.91,662493.68
2026-08-06,Aug-2026,SKU-127,Lubrication Kit 1,Consumables,East,Bengal Engineering,SUP-H,Horizon Parts,214,258,544,513,129,20,229,229,2026-08-18,2026-08-18,Yes,No,3581.9,5153.6,1837512.67
2026-01-26,Jan-2026,SKU-128,Lubrication Kit 2,Consumables,North,NorthStar Automation,SUP-C,Crest Global,276,308,663,618,154,31,283,277,2026-02-04,2026-02-12,No,No,2444.81,3507.2,1510894.81
2026-07-23,Jul-2026,SKU-103,Precision Gearbox 1,Critical Components,West,Gujarat Process Systems,SUP-B,Bharat Industrial,119,103,130,106,32,21,122,122,2026-08-01,2026-08-01,Yes,No,25886.09,38579.84,2743925.51
2026-03-25,Mar-2026,SKU-107,Power Module 1,Critical Components,East,Orion Industries,SUP-D,Delta Engineering,142,113,115,86,36,21,147,147,2026-04-03,2026-04-13,No,Yes,55859.81,77969.46,4803944.03
2026-06-23,Jun-2026,SKU-124,Smart Drive 2,Premium Equipment,North,Horizon Machines,SUP-A,Alpha Components,69,56,116,103,21,26,68,68,2026-07-02,2026-07-02,Yes,No,113109.22,160107.98,11650249.81
2026-03-28,Mar-2026,SKU-116,Connector Set 2,Standard Components,West,Western Manufacturing,SUP-E,Everest Components,198,185,269,227,51,12,212,212,2026-04-09,2026-04-09,Yes,No,4939.38,7460.96,1121238.87
2026-07-03,Jul-2026,SKU-118,CNC Control Unit 2,Premium Equipment,East,Bengal Engineering,SUP-B,Bharat Industrial,55,61,88,75,23,15,75,75,2026-07-15,2026-07-15,Yes,No,105550.14,151897.93,7916260.58
2026-04-09,Apr-2026,SKU-131,Coolant Module 1,Consumables,East,Orion Industries,SUP-G,Global Motion,307,330,710,654,165,17,316,316,2026-04-15,2026-04-15,Yes,No,4043.77,5189.0,2644624.73
2026-07-13,Jul-2026,SKU-131,Coolant Module 1,Consumables,South,TechFab Systems,SUP-B,Bharat Industrial,234,232,499,448,116,16,258,258,2026-07-18,2026-07-27,No,No,4338.12,5439.37,1943479.21
2026-01-08,Jan-2026,SKU-119,Robotic Arm Module 1,Premium Equipment,East,Prime Industrial,SUP-F,Fusion Tech,57,59,81,71,22,24,51,51,2026-01-14,2026-01-14,Yes,No,156392.76,195195.32,11103885.93
2026-03-09,Mar-2026,SKU-108,Power Module 2,Critical Components,East,Prime Industrial,SUP-D,Delta Engineering,126,98,101,73,31,16,144,144,2026-03-20,2026-03-20,Yes,Yes,47188.28,60805.41,3444744.74
2026-02-28,Feb-2026,SKU-117,CNC Control Unit 1,Premium Equipment,West,Gujarat Process Systems,SUP-D,Delta Engineering,62,64,97,81,24,23,82,82,2026-03-08,2026-03-08,Yes,No,63897.47,83533.36,5175695.07
2026-07-26,Jul-2026,SKU-113,Valve Kit 1,Standard Components,South,Southern Automation,SUP-C,Crest Global,207,181,263,220,50,28,216,216,2026-08-04,2026-08-04,Yes,No,5997.05,8385.04,1319350.71
2026-04-27,Apr-2026,SKU-106,Industrial Sensor 2,Critical Components,East,Prime Industrial,SUP-F,Fusion Tech,117,98,134,114,31,21,108,103,2026-05-06,2026-05-06,No,No,53866.12,70661.13,6140738.04
2026-06-03,Jun-2026,SKU-128,Lubrication Kit 2,Consumables,East,Prime Industrial,SUP-B,Bharat Industrial,183,201,429,399,100,17,183,183,2026-06-15,2026-06-15,Yes,No,2937.68,3888.88,1172135.03
2026-03-28,Mar-2026,SKU-108,Power Module 2,Critical Components,Central,Narmada Systems,SUP-G,Global Motion,123,105,95,72,33,21,116,116,2026-04-07,2026-04-07,Yes,Yes,41429.18,52334.76,2982900.66
2026-03-19,Mar-2026,SKU-129,Seal Pack 1,Consumables,Central,Narmada Systems,SUP-B,Bharat Industrial,312,346,695,642,173,19,321,321,2026-03-30,2026-03-30,Yes,No,1352.09,2020.84,868042.36
2026-05-12,May-2026,SKU-119,Robotic Arm Module 1,Premium Equipment,East,Orion Industries,SUP-G,Global Motion,77,54,107,89,20,19,91,91,2026-05-19,2026-05-19,Yes,No,106867.8,148284.79,9511234.46
2026-08-03,Aug-2026,SKU-101,Servo Controller 1,Critical Components,South,TechFab Systems,SUP-G,Global Motion,71,55,41,23,17,21,91,91,2026-08-14,2026-08-14,Yes,Yes,33123.54,42963.73,761841.32
