Employee_ID,Employee_Name,Gender,Date_of_Birth,Location,Department,Cost_Center,Job_Title,Grade,Employment_Type,Work_Mode,Hire_Date,Exit_Date,Employment_Status,Manager_ID,FTE,Education,Prior_Experience_Years,Recruitment_Source,Critical_Role
E00001,Employee 1,Male,2001-01-30,Bengaluru,Human Resources,CC500,HR Business Partner,G4,Permanent,Hybrid,2023-12-06,,Active,,1.0,Bachelor's,17,Agency,No
E00002,Employee 2,Male,1996-08-31,Chennai,Sales,CC200,Account Manager,G1,Permanent,Hybrid,2019-02-19,,Active,E00709,1.0,PhD,8,Agency,No
E00003,Employee 3,Female,1996-12-15,Chennai,Supply Chain,CC800,Supply Chain Analyst,G5,Permanent,Onsite,2023-03-27,,Active,,1.0,MBA,16,Agency,No
E00004,Employee 4,Female,1982-07-06,Hyderabad,Human Resources,CC500,HR Executive,G2,Permanent,Hybrid,2023-04-07,,Active,E03398,1.0,Bachelor's,13,Referral,No
E00005,Employee 5,Male,1993-11-09,Gurugram,Marketing,CC600,Product Marketing Manager,G4,Permanent,Hybrid,2022-01-09,2024-09-13,Exited,E04383,1.0,B.Tech,1,LinkedIn,No
E00006,Employee 6,Male,1976-03-14,Bengaluru,Technology,CC100,Data Scientist,G1,Permanent,Onsite,2021-01-29,,Active,E02736,1.0,B.Tech,14,Agency,No
E00007,Employee 7,Non-binary,1985-04-25,Chennai,Supply Chain,CC800,Logistics Manager,G2,Permanent,Hybrid,2019-02-09,,Active,E01700,1.0,MBA,18,Internal Mobility,No
E00008,Employee 8,Female,1988-09-05,Noida,Marketing,CC600,Product Marketing Manager,G2,Intern,Onsite,2020-12-30,,Active,E02455,1.0,B.Tech,18,Campus,Yes
E00009,Employee 9,Male,1996-08-26,Mumbai,Customer Success,CC700,Customer Success Manager,G5,Permanent,Onsite,2017-09-18,,Active,,1.0,Bachelor's,11,Company Website,No
E00010,Employee 10,Female,1997-11-18,Hyderabad,Finance,CC400,Finance Manager,G5,Permanent,Hybrid,2023-03-25,,Active,,1.0,M.Tech,9,Job Portal,No
E00011,Employee 11,Female,1992-02-10,Hyderabad,Sales,CC200,Key Account Manager,G4,Permanent,Onsite,2021-11-01,,Active,,1.0,PhD,7,Internal Mobility,No
E00012,Employee 12,Male,1997-09-22,Chennai,Finance,CC400,Senior Finance Analyst,G5,Permanent,Hybrid,2019-06-16,2020-01-01,Exited,E03336,1.0,PhD,16,Agency,No
E00013,Employee 13,Male,1987-05-16,Pune,Technology,CC100,Senior Software Engineer,G2,Permanent,Hybrid,2017-03-05,,Active,,1.0,Bachelor's,5,LinkedIn,No
E00014,Employee 14,Male,1980-09-22,Mumbai,Marketing,CC600,Marketing Executive,G2,Permanent,Hybrid,2019-09-07,2021-09-21,Exited,E04451,1.0,MBA,6,Company Website,No
E00015,Employee 15,Male,1995-09-16,Bengaluru,Supply Chain,CC800,Planner,G4,Permanent,Hybrid,2022-04-02,,Active,,1.0,M.Tech,15,Internal Mobility,No
E00016,Employee 16,Female,1975-07-10,Pune,Supply Chain,CC800,Procurement Specialist,G3,Permanent,Onsite,2018-03-25,,Active,,1.0,B.Tech,4,Campus,No
E00017,Employee 17,Male,2000-08-25,Pune,Finance,CC400,Senior Finance Analyst,G4,Permanent,Hybrid,2024-09-01,,Active,,1.0,PhD,3,Agency,No
E00018,Employee 18,Male,2002-05-04,Chennai,Supply Chain,CC800,Logistics Manager,G1,Permanent,Hybrid,2025-08-04,,Active,E01806,1.0,B.Tech,0,Agency,No
E00019,Employee 19,Male,1982-03-08,Hyderabad,Human Resources,CC500,HR Manager,G2,Permanent,Hybrid,2019-03-16,2023-04-12,Exited,E03614,1.0,B.Tech,3,LinkedIn,No
E00020,Employee 20,Male,1983-10-07,Hyderabad,Finance,CC400,Finance Analyst,G3,Permanent,Hybrid,2024-07-17,,Active,E04238,1.0,PhD,3,Company Website,No
E00021,Employee 21,Female,1984-07-18,Pune,Customer Success,CC700,Customer Success Executive,G1,Permanent,Onsite,2019-09-03,,Active,E03414,1.0,PhD,9,Job Portal,Yes
E00022,Employee 22,Female,1993-01-27,Hyderabad,Sales,CC200,Key Account Manager,G4,Permanent,Hybrid,2017-12-09,,Active,,1.0,Master's,17,Company Website,Yes
E00023,Employee 23,Male,1975-12-14,Pune,Marketing,CC600,Product Marketing Manager,G5,Permanent,Onsite,2018-08-19,2019-10-11,Exited,E04931,1.0,Bachelor's,8,Campus,No
E00024,Employee 24,Female,1979-12-16,Chennai,Customer Success,CC700,Support Analyst,G4,Permanent,Remote,2018-11-03,,Active,,1.0,Bachelor's,10,Internal Mobility,No
